decimalLatitude;decimalLongitude
40.169496;-0.289789
39.504059;-0.48682
36.721188;-5.172463
39.459312;-5.883887
42.645;9.457222
42.619167;2.430556
39.416111;2.944722
38.714981;1.431276
41.589722;9.281389
42.250942;9.180237
40.087255;-6.654709
39.526974;3.150522
37.063114;-7.823102
42.2673;8.692379
45.51574;9.463717
41.709366;9.314019
45.039042;-0.154403
40.312641;0.032652
38.05378;-1.646409
42.125431;3.121418
41.589825;9.279625
37.254924;-1.924286
43.931111;4.832222
40.753437;-3.779422
42.05062;-8.649002
39.823084;-7.468949
39.766481;2.938554
39.653924;2.630141
38.234798;-1.411313
41.702778;9.357778
41.589825;9.279625
43.341392;6.124027
41.702778;9.357778
43.270211;5.408503
47.801255;4.091089
37.882841;-4.769697
32.789979;-0.631565
37.08762;-8.671345
48.553528;2.555867
41.030503;0.958019
42.682479;9.302724
48.935722;2.574107
42.694144;3.035523
42.70889;2.985561
42.586048;9.01631
39.252102;-9.033789
40.617778;0.596389
42.429512;-2.455658
42.461712;3.106525
40.470944;-3.693715
43.369999;-0.255278
40.288542;-3.786181
39.708056;3.460833
48.339523;-1.207917
48.890606;2.371711
49.596212;0.59589
45.50136;9.196226
48.831692;-3.4823
38.348906;-0.477816
36.612981;4.692202
36.743661;-5.169753
43.278236;-7.752786
48.136544;2.195414
40.396325;-3.732387
37.925687;-5.758053
45.089859;-0.531492
49.294274;0.593433
43.403996;-5.80993
45.325696;-0.255193
40.184194;-5.834127
42.698552;9.355664
39.695278;-3.505833
44.786975;-0.692578
38.246462;-1.418247
43.36562;6.315915
45.947715;6.036744
45.122812;8.791954
49.294274;0.593433
48.117291;-1.033663
40.399751;-3.693624
48.402653;-4.382936
39.477736;-0.386446
40.114425;-5.598345
37.654291;-1.687716
41.453815;2.182374
48.806034;7.914486
48.947627;4.245052
48.093726;-1.639656
40.920425;0.793789
37.405788;-6.031739
36.613335;4.6925
36.599991;3.85093
38.065868;-8.763286
45.060147;7.67454
43.987907;4.302935
36.613335;4.6925
43.334037;3.121623
46.960508;2.25188
48.516228;-3.016422
40.103333;-7.145555
39.981777;-6.536398
45.060134;7.674534
38.046654;-0.695498
35.307752;-5.628709
41.870852;2.801576
47.828913;-3.247261
43.666251;4.011569
43.29378;5.3734
43.66415;4.167994
41.721497;2.936487
44.400132;4.398893
41.596714;2.577724
39.899518;4.076686
45.726;4.882238
31.647778;-8.013889
41.03355;0.963343
36.759351;-4.429122
31.958753;-6.56694
37.873917;-4.783815
41.367702;2.140813
40.484166;-3.35168
46.794851;-2.07076
41.960293;0.160393
45.700012;4.879696
43.725456;6.084207
43.723838;7.249412
45.55384;5.560057
43.723838;7.249412
43.620412;7.045883
45.056163;7.680791
